model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
BMW M5 4.4 컴페티션,/mycar/mycar_view.php?no=2256594&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256594&gubun=I,False,,BMW M5 6세대  4.4 컴페티션,,False,,,,2023.05,46900.0,가솔린,자동,검정색,4395.0,
BMW M5 5.0,/mycar/mycar_view.php?no=2254103&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254103&gubun=I,False,,BMW M5 3세대  5.0 -,,False,,,,2004.07 (99년형),84203.0,가솔린,수동,하늘색,4941.0,
BMW X5 M 4.4 컴페티션,/mycar/mycar_view.php?no=2251270&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251270&gubun=I,False,,BMW X5 M 3세대  4.4 컴페티션,,False,,,,2024.12,6800.0,가솔린,자동,흰색,4395.0,
BMW X5 M 3세대  4.4 컴페티션,/mycar/mycar_view.php?no=2256558&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256558&gubun=I,False,12395.0,BMW X5 M 3세대  4.4 컴페티션,12395.0,False,,,,2023.06,17200.0,가솔린,수동,청색,4395.0,
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2256251&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256251&gubun=I,False,7989.0,BMW X6 3세대  xDrive 30d M 스포츠,7989.0,False,,,,2022.12 (23년형),63793.0,디젤,자동,진청색,2993.0,
BMW X6 xDrive 40i M 스포츠,/mycar/mycar_view.php?no=2248016&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248016&gubun=I,False,,BMW X6 3세대  xDrive 40i M 스포츠,,False,,,,2024.08,6388.0,가솔린,자동,흰색,2998.0,
BMW X6 xDrive 40i M스포츠 블랙에디션,/mycar/mycar_view.php?no=2256000&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256000&gubun=I,False,,BMW X6 3세대  xDrive 40i M스포츠 블랙에디션,,False,,,,2025.01,8180.0,가솔린,자동,검정색,2998.0,
BMW X6 3세대  xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2257389&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257389&gubun=I,False,10000.0,BMW X6 3세대  xDrive 30d M 스포츠,10000.0,False,,,,2023.06,17000.0,디젤,자동,흰색,3000.0,
BMW X6 3세대 M60i,/mycar/mycar_view.php?no=2241968&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2241968&gubun=I,True,239.0,BMW X6 3세대 M60i,239.0,True,,,34 / 60,2023.12 (24년형),27000.0,가솔린,자동,검정색,4395.0,
BMW X6 xDrive 30d M 스포츠,/mycar/mycar_view.php?no=2249817&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249817&gubun=I,False,,BMW X6 3세대  xDrive 30d M 스포츠,,False,,,,2025.01,6000.0,디젤,자동,검정색,2993.0,
